date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
2015-02-07 01:34:59,19.89,18.79,0.0,441.333333333333,0.0026908355879058,0
2015-02-06 12:49:00,21.7,20.0,499.0,760.0,0.0032043703156642,1
2015-02-06 15:17:59,22.125,21.7475,499.0,922.0,0.0035780608196993,1
2015-02-09 20:41:00,20.55,34.345,0.0,822.0,0.0051434066024191,0
2015-02-09 02:44:00,19.39,26.7,0.0,468.0,0.00371272675749,0
2015-02-05 17:44:00,22.1333333333333,24.29,433.0,898.666666666667,0.0040011056802961,1
2015-02-07 14:31:00,22.3566666666667,17.5,119.0,442.333333333333,0.0029170440852069,0
2015-02-04 17:51:59,23.15,27.2675,429.5,714.0,0.0047834409493106,1
2015-02-07 10:01:59,21.125,18.7,253.0,461.5,0.0028909151763711,0
2015-02-08 02:08:00,19.5,30.7,0.0,435.0,0.0043023037832488,0
2015-02-05 04:07:00,20.89,24.39,0.0,440.0,0.0037214254101758,0
2015-02-07 14:41:00,22.29,17.7,100.0,440.0,0.0029385390831873,0
2015-02-06 12:40:59,21.7,20.2225,500.25,789.75,0.0032402046409295,1
2015-02-08 04:24:00,19.39,31.39,0.0,438.0,0.0043694687183077,0
2015-02-06 07:40:59,20.2,18.6,401.333333333333,439.0,0.0027153580855378,1
2015-02-05 21:07:00,20.89,19.84,0.0,470.0,0.0030238115615878,0
2015-02-09 00:16:59,19.5,27.0,0.0,458.0,0.0037806334317097,0
2015-02-07 08:49:00,19.6333333333333,19.4266666666667,31.0,454.333333333333,0.0027382560181421,0
2015-02-09 01:53:59,19.39,27.2,0.0,456.0,0.0037826763006657,0
2015-02-08 14:17:00,20.675,26.29,145.25,429.25,0.0039600858331414,0
2015-02-04 20:06:00,21.745,27.1,0.0,534.5,0.004361942969453,0
2015-02-05 22:34:59,20.5,21.0,0.0,455.0,0.0031251226202272,0
2015-02-08 20:54:00,19.39,27.39,0.0,447.0,0.0038092612279417,0
2015-02-05 22:31:00,20.55,21.0,0.0,450.5,0.0031348261823752,0
2015-02-05 08:23:59,21.3233333333333,23.9266666666667,428.333333333333,654.666666666667,0.0037493638712037,1
2015-02-06 14:12:59,21.89,19.3233333333333,524.0,680.0,0.0031317384210383,1
2015-02-09 20:25:59,20.5,34.745,0.0,890.5,0.00518764953651,0
2015-02-08 00:13:00,19.5,29.7,0.0,441.666666666667,0.0041612260466345,0
2015-02-08 22:02:59,19.6,27.6,0.0,451.0,0.0038894210396409,0
2015-02-08 03:15:00,19.39,31.2,0.0,437.0,0.0043428361745283,0
2015-02-08 04:51:00,19.29,31.39,0.0,436.0,0.0043421590782813,0
2015-02-08 12:06:00,19.29,30.7,102.666666666667,435.0,0.0042460602423091,0
2015-02-08 05:38:59,19.29,31.55,0.0,434.0,0.0043644470789057,0
2015-02-06 23:17:00,19.89,18.89,0.0,436.0,0.0027052184438901,0
2015-02-09 18:56:59,21.2,36.2,0.0,1320.5,0.0056469398715189,0
2015-02-09 01:45:00,19.39,27.2,0.0,466.0,0.0037826763006657,0
2015-02-09 02:09:00,19.445,26.995,0.0,470.0,0.0037669423850179,0
2015-02-07 11:44:59,22.7225,17.6,347.25,454.5,0.0030000360445047,0
2015-02-06 05:48:00,20.29,18.79,0.0,436.0,0.0027585928591068,0
2015-02-04 19:06:00,22.2,27.29,0.0,598.0,0.0045172881934999,0
2015-02-08 00:49:00,19.55,29.89,0.0,441.0,0.0042011531723506,0
2015-02-07 00:16:59,20.0,18.79,0.0,435.0,0.0027093212027033,0
2015-02-06 13:18:00,21.29,19.7,440.0,660.0,0.0030774235150044,1
2015-02-05 03:48:00,21.0,24.445,0.0,445.0,0.0037553362157961,0
2015-02-09 21:48:00,20.5,33.5,0.0,712.5,0.0050002687720686,0
2015-02-05 12:38:00,22.7,26.7,528.0,1090.0,0.0045563001384298,0
2015-02-09 00:04:00,19.5,27.0,0.0,458.0,0.0037806334317097,0
2015-02-06 21:47:00,20.2,19.0,0.0,445.5,0.0027740133138574,0
2015-02-09 23:45:59,20.39,32.9,0.0,506.333333333333,0.0048765158292672,0
2015-02-08 05:05:00,19.29,31.6,0.0,431.0,0.0043714124044013,0
2015-02-08 09:36:00,19.39,30.7,146.0,428.75,0.00427276135377,0
2015-02-05 19:40:59,21.1,19.79,0.0,513.5,0.0030555340335067,0
